b0,8,0.780714
b1,1,1
b2,8,0.817505
b3,1,1
b4,8,0.867327
b5,1,1
b6,4,1
b7,4,1
b8,10,0.2
b8,10,0.2
b4,8,0.867327
b5,4,1
b6,4,1
b7,10,0.2
b7,10,0.2
b2,8,0.817505
b3,4,1
b4,8,0.823578
b5,5,0.880589
b6,3,1
b7,1,1
b8,1,1
b9,4,1
b10,4,1
b11,10,0.2
b11,10,0.2
b5,5,0.880589
b6,1,1
b7,4,1
b8,10,0.2
b8,10,0.2
b4,8,0.823578
b5,4,1
b6,10,0.2
b6,10,0.2
b0,8,0.780714
b1,4,1
b2,8,0.770353
b3,5,0.821015
b4,3,1
b5,1,1
b6,1,1
b7,8,0.853718
b8,1,1
b9,4,1
b10,4,1
b11,10,0.2
b11,10,0.2
b7,8,0.853718
b8,4,1
b9,4,1
b10,10,0.2
b10,10,0.2
b3,5,0.821015
b4,1,1
b5,8,0.793564
b6,5,0.881143
b7,3,1
b8,1,1
b9,1,1
b10,4,1
b11,4,1
b12,10,0.2
b12,10,0.2
b6,5,0.881143
b7,1,1
b8,4,1
b9,10,0.2
b9,10,0.2
b5,8,0.793564
b6,4,1
b7,10,0.2
b7,10,0.2
b2,8,0.770353
b3,4,1
b4,10,0.2
b4,10,0.2
